rank;name;points;soccer chipper;clean & jerk;triangle couplet;midline madness;pttm 1;pttm 2
1;"BEN SMITH";915;"1";"2";"6";"7";"4";"4"
2;"MATHEW FRASER";879;"32";"4";"1";"2";"2";"17"
3;"BJÖRGVIN KARL GUÐMUNDSSON";766;"9";"23";"7";"5";"7";"5"
4;"DAN BAILEY";730;"18";"15";"4";"14";"3";"3"
5;"SPENCER HENDEL";718;"2";"21";"8";"8";"1";"1"
6;"SCOTT PANCHIK";709;"21";"6";"5";"30";"5";"6"
7;"COLE SAGER";700;"3";"7";"3";"18";"18";"21"
8;"NOAH OHLSEN";693;"14";"27";"2";"6";"17";"9"
9;"JONNE KOSKI";638;"20";"23";"9";"11";"14";"21"
10;"JACOB HEPPNER";621;"11";"22";"10";"1";"20";"7"
11;"ALEX VIGNEAULT";615;"7";"17";"20";"4";"8";"15"
12;"AARON HANNA";604;"6";"1";"11";"25";"25";"12"
13;"ALEX ANDERSON";583;"27";"12";"15";"15";"25";"11"
14;"LUCAS PARKER";556;"24";"7";"12";"22";"11";"8"
15;"BENJAMIN GARARD";540;"12";"36";"17";"16";"25";"10"
16;"ELIJAH MUHAMMAD";535;"5";"7";"24";"19";"18";"33"
17;"KEVIN MANUEL";534;"4";"17";"29";"17";"9";"21"
18;"JON PERA";519;"28";"5";"32";"33";"12";"18"
19;"TYSON TAKASAKI";518;"16";"15";"34";"28";"9";"29"
20;"CHAD COLE";508;"10";"33";"16";"12";"20";"13"
21;"ADRIAN CONWAY";493;"23";"20";"22";"13";"14";"29"
22;"ROY GAMBOA";476;"8";"7";"21";"29";"20";"19"
23;"ROB FORTE";472;"25";"32";"31";"3";"25";"14"
24;"GRAHAM HOLMBERG";472;"28";"27";"14";"21";"25";"28"
25;"CHAD MELTON";460;"26";"12";"25";"24";"25";"2"
26;"STEVEN FAWCETT";454;"15";"12";"18";"10";"20";"25"
27;"NATHAN BRAMBLETT";425;"22";"11";"13";"35";"6";"25"
28;"NICHOLAS URANKAR";417;"28";"2";"19";"36";"13";"29"
29;"PHIL HESKETH";400;"13";"31";"23";"26";"14";"21"
30;"LUKAS HÖGBERG";385;"19";"30";"36";"34";"25";"36"
31;"DANIEL TYMINSKI";381;"37";"33";"27";"27";"25";"16"
32;"TRAVIS WILLIAMS";370;"35";"36";"26";"20";"25";"34"
33;"KHAN PORTER";351;"34";"29";"28";"23";"25";"35"
34;"AUSTIN MALLEOLO";301;"32";"35";"30";"9";"25";"32"
35;"JULIAN ALCARAZ";299;"17";"23";"35";"31";"25";"27"
36;"JORDAN COOK";244;"38";"26";"33";"32";"20";"20"
37;"KEVIN SIMONS";149;"35";"17";"37";WD (--);WD (--);WD (--)
38;"JOE SCALI";221;"28";"36";WD (--);WD (--);WD (--);WD (--)
39;"NEAL MADDOX";198;WD (--);WD (--);WD (--);WD (--);WD (--);WD (--)
40;"CHAD MACKAY";270;WD (--);WD (--);WD (--);WD (--);WD (--);WD (--)